page        index   level   data    free    records 
217         48      0       15143   1027    169     
218         48      0       15062   1108    168     
219         48      0       15056   1114    171     
220         48      0       15052   1118    171     
221         48      0       15082   1086    172     
222         48      0       15135   1035    170     
223         48      0       15127   1043    169     
224         48      0       15072   1098    170     
225         48      0       15126   1044    169     
226         48      0       15100   1070    170     
227         48      0       15051   1119    168     
228         48      0       15095   1075    170     
229         48      0       15058   1112    168     
230         48      0       15127   1043    169     
231         48      0       15108   1062    170     
232         48      0       15120   1050    169     
233         48      0       15107   1063    171     
234         48      0       15123   1045    173     
235         48      0       15140   1030    171     
236         48      0       15126   1044    171     
237         48      0       15136   1032    172     
238         48      0       15096   1074    170     
239         48      0       15110   1060    168     
240         48      0       15074   1096    169     
241         48      0       15129   1039    172     
242         48      0       15105   1065    171     
243         48      0       15114   1056    170     
244         48      0       15078   1092    169     
245         48      0       15138   1032    171     
246         48      0       15108   1062    169     
247         48      0       15059   1111    168     
248         48      0       15062   1108    169     
249         48      0       15076   1092    172     
250         48      0       15078   1092    168     
251         48      0       15074   1096    169     
252         48      0       15074   1096    170     
253         48      0       15130   1040    169     
254         48      0       15102   1068    171     
255         48      0       15136   1034    169     
256         48      0       15096   1074    170     
257         48      0       15106   1066    167     
258         48      0       15141   1029    170     
259         48      0       15093   1075    172     
260         48      0       15103   1067    168     
261         48      0       15097   1073    169     
262         48      0       15114   1056    170     
263         48      0       15143   1027    170     
264         48      0       15103   1067    171     
265         48      0       15062   1106    172     
266         48      0       15104   1066    171     
267         48      0       15098   1072    169     
268         48      0       15078   1092    170     
269         48      0       15116   1054    171     
270         48      0       15076   1094    169     
271         48      0       15059   1111    169     
272         48      0       15088   1082    169     
273         48      0       15124   1046    169     
274         48      0       15092   1078    170     
275         48      0       15135   1035    171     
276         48      0       15138   1032    168     
277         48      0       15143   1027    170     
278         48      0       15137   1033    169     
279         48      0       15114   1056    168     
280         48      0       15143   1027    169     
281         48      0       15085   1085    169     
282         48      0       15127   1043    170     
283         48      0       15050   1120    169     
284         48      0       15100   1070    169     
285         48      0       15134   1036    169     
286         48      0       15104   1064    172     
287         48      0       15121   1047    172     
288         48      0       15096   1074    169     
289         48      0       15094   1076    170     
290         48      0       15133   1037    169     
291         48      0       15143   1027    169     
292         48      0       15074   1098    167     
293         48      0       15078   1092    168     
294         48      0       15130   1040    169     
295         48      0       15141   1027    172     
296         48      0       15104   1066    168     
297         48      0       15059   1111    170     
298         48      0       15085   1085    169     
299         48      0       15114   1056    170     
300         48      0       15125   1045    170     
301         48      0       15105   1067    167     
302         48      0       15073   1097    171     
303         48      0       15098   1072    169     
304         48      0       15059   1111    169     
305         48      0       15087   1083    169     
306         48      0       15089   1081    170     
307         48      0       15075   1095    170     
308         48      0       15062   1108    168     
309         48      0       15087   1083    169     
310         48      0       15126   1044    170     
311         48      0       15128   1042    169     
312         48      0       15072   1096    172     
313         48      0       15116   1054    170     
314         48      0       15072   1098    169     
315         48      0       15085   1083    172     
316         48      0       15061   1109    170     
317         48      0       15068   1104    167     
318         48      0       15115   1055    169     
319         48      0       15050   1120    169     
320         48      0       15134   1036    171     
321         48      0       15112   1058    170     
322         48      0       15075   1095    171     
323         48      0       15097   1073    171     
324         48      0       15071   1099    171     
325         48      0       15091   1079    170     
326         48      0       15116   1054    171     
327         48      0       15105   1065    170     
328         48      0       15073   1097    169     
329         48      0       15131   1039    170     
330         48      0       15098   1072    171     
331         48      0       15124   1046    171     
332         48      0       15135   1035    170     
333         48      0       15071   1099    169     
334         48      0       15138   1030    172     
335         48      0       15114   1056    168     
336         48      0       15063   1107    168     
337         48      0       15090   1080    169     
338         48      0       15134   1036    171     
339         48      0       15096   1074    169     
340         48      0       15133   1037    171     
341         48      0       15090   1080    169     
342         48      0       15082   1088    169     
343         48      0       15114   1056    171     
344         48      0       15142   1028    170     
345         48      0       15100   1070    169     
346         48      0       15084   1086    169     
347         48      0       15083   1087    171     
348         48      0       15089   1081    169     
349         48      0       15105   1065    170     
350         48      0       15139   1031    170     
351         48      0       15105   1065    170     
352         48      0       15141   1029    171     
353         48      0       15090   1080    169     
354         48      0       15129   1041    171     
355         48      0       15113   1057    170     
356         48      0       15110   1060    169     
357         48      0       15098   1072    170     
358         48      0       15120   1050    171     
359         48      0       15085   1085    170     
360         48      0       15080   1090    170     
361         48      0       15138   1030    172     
362         48      0       15107   1063    170     
363         48      0       15081   1089    171     
364         48      0       15100   1070    171     
365         48      0       15123   1047    170     
366         48      0       15121   1049    170     
367         48      0       15062   1108    169     
368         48      0       15067   1105    167     
369         48      0       15135   1035    170     
370         48      0       15071   1099    170     
371         48      0       15130   1040    170     
372         48      0       15125   1045    169     
373         48      0       15123   1047    170     
374         48      0       15120   1050    170     
375         48      0       15135   1035    169     
376         48      0       15094   1076    169     
377         48      0       15052   1118    169     
378         48      0       15128   1042    171     
379         48      0       15056   1114    170     
380         48      0       15059   1111    170     
381         48      0       15099   1071    168     
382         48      0       15074   1096    170     
383         48      0       15082   1088    170     
384         48      0       15080   1092    166     
385         48      0       15137   1033    169     
386         48      0       15096   1074    171     
387         48      0       15062   1108    168     
388         48      0       15056   1114    168     
389         48      0       15126   1044    168     
390         48      0       15141   1029    169     
391         48      0       15073   1099    167     
392         48      0       15054   1114    172     
393         48      0       15069   1101    169     
394         48      0       15118   1052    170     
395         48      0       15076   1094    170     
396         48      0       15136   1034    171     
397         48      0       15054   1116    168     
398         48      0       15119   1051    169     
399         48      0       15112   1058    171     
400         48      0       15098   1072    168     
401         48      0       15076   1094    169     
402         48      0       15089   1081    168     
403         48      0       15059   1111    171     
404         48      0       15137   1033    169     
405         48      0       15066   1104    168     
406         48      0       15088   1082    170     
407         48      0       15130   1040    169     
408         48      0       15094   1076    170     
409         48      0       15100   1070    170     
410         48      0       15094   1076    170     
411         48      0       15064   1106    169     
412         48      0       15098   1072    170     
413         48      0       15128   1042    170     
414         48      0       15083   1087    170     
415         48      0       15110   1060    171     
416         48      0       15095   1075    168     
417         48      0       15117   1053    169     
418         48      0       15063   1107    169     
419         48      0       15108   1062    169     
420         48      0       15125   1045    170     
421         48      0       15080   1090    169     
422         48      0       15130   1038    172     
423         48      0       15045   1123    172     
424         48      0       15057   1115    167     
425         48      0       15116   1052    172     
426         48      0       15083   1087    169     
427         48      0       15089   1081    170     
428         48      0       15131   1039    171     
429         48      0       15106   1064    170     
430         48      0       15117   1053    169     
431         48      0       15074   1096    171     
432         48      0       15113   1055    173     
433         48      0       15116   1054    171     
434         48      0       15093   1077    171     
435         48      0       15091   1079    169     
436         48      0       15066   1104    171     
437         48      0       15111   1059    168     
438         48      0       15112   1058    170     
439         48      0       15083   1087    170     
440         48      0       15055   1115    171     
441         48      0       15138   1032    170     
442         48      0       15050   1120    168     
443         48      0       15057   1115    167     
444         48      0       15066   1104    170     
445         48      0       15091   1079    170     
446         48      0       15142   1028    170     
447         48      0       15104   1066    169     
448         48      0       15136   1034    170     
449         48      0       15078   1092    168     
450         48      0       15115   1055    170     
451         48      0       15083   1087    169     
452         48      0       15115   1055    171     
453         48      0       15092   1078    171     
454         48      0       15087   1083    171     
455         48      0       15087   1083    169     
456         48      0       15139   1031    170     
457         48      0       15050   1120    169     
458         48      0       15139   1031    169     
459         48      0       15060   1110    169     
460         48      0       15078   1092    169     
461         48      0       15137   1033    171     
462         48      0       15094   1076    171     
463         48      0       15110   1060    170     
464         48      0       15112   1058    169     
465         48      0       15140   1028    172     
466         48      0       15077   1093    171     
467         48      0       15067   1103    168     
468         48      0       15093   1077    170     
469         48      0       15118   1052    170     
470         48      0       15117   1051    172     
471         48      0       15070   1100    170     
472         48      0       15097   1073    171     
473         48      0       15072   1098    171     
474         48      0       15124   1046    169     
475         48      0       15107   1063    169     
476         48      0       15106   1064    168     
477         48      0       15131   1039    171     
478         48      0       15130   1040    169     
479         48      0       15070   1100    171     
480         48      0       15073   1097    169     
481         48      0       15112   1058    170     
482         48      0       15068   1102    169     
483         48      0       15064   1106    170     
484         48      0       15121   1049    170     
485         48      0       15077   1093    169     
486         48      0       15115   1055    170     
487         48      0       15106   1064    170     
488         48      0       15135   1035    168     
489         48      0       15133   1037    171     
490         48      0       15117   1053    169     
491         48      0       15100   1070    171     
492         48      0       15107   1063    170     
493         48      0       15071   1099    170     
494         48      0       15077   1093    168     
495         48      0       15049   1123    167     
496         48      0       15078   1092    170     
497         48      0       15084   1086    169     
498         48      0       15046   1124    171     
499         48      0       15100   1070    171     
500         48      0       15111   1059    169     
501         48      0       15060   1110    170     
502         48      0       15084   1086    170     
503         48      0       15116   1054    169     
504         48      0       15121   1049    168     
505         48      0       15122   1048    170     
506         48      0       15135   1035    170     
507         48      0       15114   1056    170     
508         48      0       15055   1115    168     
